Description,Quoted_Premium
EUR Swaption Premium 2Y12Y,NaN
EUR Swaption Premium 2Y15Y,850.743
EUR Swaption Premium 2Y25Y,1282.48
EUR Swaption Premium 2Y30Y,1485.668
EUR Swaption Premium 2Y4Y,243.745
EUR Swaption Premium 2Y40Y,NaN
EUR Swaption Premium 2Y5Y,306.589
EUR Swaption Premium 2Y6Y,365.094
EUR Swaption Premium 2Y7Y,423.812
EUR Swaption Premium 2Y8Y,482.986
EUR Swaption Premium 2Y9Y,542.125
EUR Swaption Premium 3Y1Y,NaN
EUR Swaption Premium 3Y12Y,NaN
EUR Swaption Premium 3Y2Y,155.238
EUR Swaption Premium 3Y20Y,1307.859
EUR Swaption Premium 3Y25Y,1555.9301
EUR Swaption Premium 3Y3Y,231.217
EUR Swaption Premium 3Y4Y,306.807
EUR Swaption Premium 3Y40Y,NaN
EUR Swaption Premium 3Y5Y,383.592
EUR Swaption Premium 3Y6Y,455.781
EUR Swaption Premium 3Y7Y,526.393
EUR Swaption Premium 3Y8Y,597.584
EUR Swaption Premium 3Y9Y,667.749
EUR Swaption Premium 4Y1Y,NaN
EUR Swaption Premium 4Y12Y,NaN
EUR Swaption Premium 4Y15Y,1171.999
EUR Swaption Premium 4Y2Y,182.169
EUR Swaption Premium 4Y20Y,1484.0389
EUR Swaption Premium 4Y25Y,1760.734
EUR Swaption Premium 4Y3Y,269.312
EUR Swaption Premium 4Y30Y,2023.3521
EUR Swaption Premium 4Y4Y,358.002
EUR Swaption Premium 4Y40Y,NaN
EUR Swaption Premium 4Y5Y,444.722
EUR Swaption Premium 4Y6Y,527.172
EUR Swaption Premium 4Y7Y,609.55
EUR Swaption Premium 4Y8Y,690.826
EUR Swaption Premium 4Y9Y,771.677
EUR Swaption Premium 5Y1Y,NaN
EUR Swaption Premium 5Y12Y,NaN
EUR Swaption Premium 5Y2Y,203.508
EUR Swaption Premium 5Y20Y,1616.671
EUR Swaption Premium 5Y25Y,1924.135
EUR Swaption Premium 5Y3Y,301.91
EUR Swaption Premium 5Y30Y,2198.582
EUR Swaption Premium 5Y4Y,398.423
EUR Swaption Premium 5Y40Y,NaN
EUR Swaption Premium 5Y6Y,585.714
EUR Swaption Premium 5Y7Y,675.008
EUR Swaption Premium 5Y8Y,763.603
EUR Swaption Premium 5Y9Y,851.325
EUR Swaption Premium 6Y1Y,NaN
EUR Swaption Premium 6Y12Y,NaN
EUR Swaption Premium 6Y15Y,1348.0001
EUR Swaption Premium 6Y2Y,220.992
EUR Swaption Premium 6Y20Y,1679.0002
EUR Swaption Premium 6Y25Y,1983.0002
EUR Swaption Premium 6Y3Y,322.956
EUR Swaption Premium 6Y30Y,2254.0002
EUR Swaption Premium 6Y4Y,427.4841
EUR Swaption Premium 6Y5Y,532.17
EUR Swaption Premium 6Y6Y,620.0001
EUR Swaption Premium 6Y7Y,712.0001
EUR Swaption Premium 6Y8Y,804.0001
EUR Swaption Premium 6Y9Y,894.0001
EUR Swaption Premium 7Y1Y,NaN
EUR Swaption Premium 7Y12Y,NaN
EUR Swaption Premium 7Y15Y,1434.7889
EUR Swaption Premium 7Y2Y,235.233
EUR Swaption Premium 7Y20Y,1789.016
EUR Swaption Premium 7Y25Y,2107.3101
EUR Swaption Premium 7Y3Y,346.348
EUR Swaption Premium 7Y30Y,2397.6001
EUR Swaption Premium 7Y4Y,455.573
EUR Swaption Premium 7Y40Y,NaN
EUR Swaption Premium 7Y5Y,562.584
EUR Swaption Premium 7Y6Y,669.755
EUR Swaption Premium 7Y7Y,775.249
EUR Swaption Premium 7Y8Y,871.617
EUR Swaption Premium 7Y9Y,961.308
EUR Swaption Premium 8Y1Y,NaN
EUR Swaption Premium 8Y12Y,NaN
EUR Swaption Premium 8Y15Y,1461.0001
EUR Swaption Premium 8Y2Y,246.161
EUR Swaption Premium 8Y20Y,1810.0002
EUR Swaption Premium 8Y25Y,2121.0002
EUR Swaption Premium 8Y3Y,360.297
EUR Swaption Premium 8Y30Y,2396.0002
EUR Swaption Premium 8Y4Y,473.6401
EUR Swaption Premium 8Y5Y,584.2861
EUR Swaption Premium 8Y6Y,680.0001
EUR Swaption Premium 8Y7Y,781.0001
EUR Swaption Premium 8Y8Y,879.0001
EUR Swaption Premium 8Y9Y,977.0001
EUR Swaption Premium 9Y1Y,NaN
EUR Swaption Premium 9Y12Y,NaN
EUR Swaption Premium 9Y15Y,1494.0001
EUR Swaption Premium 9Y2Y,255.846
EUR Swaption Premium 9Y20Y,1850.0002
EUR Swaption Premium 9Y25Y,2158.0002
EUR Swaption Premium 9Y3Y,373.345
EUR Swaption Premium 9Y30Y,2436.0002
EUR Swaption Premium 9Y4Y,489.2301
EUR Swaption Premium 9Y5Y,601.1431
EUR Swaption Premium 9Y6Y,699.0001
EUR Swaption Premium 9Y7Y,802.0001
EUR Swaption Premium 9Y8Y,903.0001
EUR Swaption Premium 9Y9Y,1002.0001
EUR Swaption Premium 1M12Y,NaN
EUR Swaption Premium 1M15Y,148.611
EUR Swaption Premium 1M2Y,14.187
EUR Swaption Premium 1M25Y,242.167
EUR Swaption Premium 1M3Y,24.333
EUR Swaption Premium 1M30Y,289.852
EUR Swaption Premium 1M4Y,35.637
EUR Swaption Premium 1M40Y,NaN
EUR Swaption Premium 1M5Y,47.867
EUR Swaption Premium 1M6Y,57.985
EUR Swaption Premium 1M7Y,68.221
EUR Swaption Premium 1M8Y,78.688
EUR Swaption Premium 1M9Y,89.209
EUR Swaption Premium 2M10Y,151.047
EUR Swaption Premium 2M12Y,NaN
EUR Swaption Premium 2M2Y,23.766
EUR Swaption Premium 2M20Y,292.013
EUR Swaption Premium 2M25Y,360.785
EUR Swaption Premium 2M3Y,39.103
EUR Swaption Premium 2M30Y,429.958
EUR Swaption Premium 2M4Y,55.338
EUR Swaption Premium 2M40Y,NaN
EUR Swaption Premium 2M5Y,72.628
EUR Swaption Premium 2M6Y,88.204
EUR Swaption Premium 2M7Y,103.902
EUR Swaption Premium 2M8Y,119.567
EUR Swaption Premium 2M9Y,135.432
EUR Swaption Premium 3M12Y,NaN
EUR Swaption Premium 3M15Y,281.211
EUR Swaption Premium 3M2Y,30.583
EUR Swaption Premium 3M20Y,366.316
EUR Swaption Premium 3M25Y,452.105
EUR Swaption Premium 3M3Y,50.18
EUR Swaption Premium 3M4Y,70.929
EUR Swaption Premium 3M40Y,NaN
EUR Swaption Premium 3M6Y,112.484
EUR Swaption Premium 3M7Y,132.533
EUR Swaption Premium 3M8Y,152.569
EUR Swaption Premium 3M9Y,172.763
EUR Swaption Premium 6M10Y,281.815
EUR Swaption Premium 6M12Y,NaN
EUR Swaption Premium 6M15Y,406.788
EUR Swaption Premium 6M2Y,47.864
EUR Swaption Premium 6M20Y,526.405
EUR Swaption Premium 6M25Y,645.052
EUR Swaption Premium 6M3Y,76.126
EUR Swaption Premium 6M30Y,762.345
EUR Swaption Premium 6M4Y,105.027
EUR Swaption Premium 6M40Y,NaN
EUR Swaption Premium 6M7Y,193.883
EUR Swaption Premium 6M8Y,223.371
EUR Swaption Premium 6M9Y,252.868
EUR Swaption Premium 9M10Y,352.688
EUR Swaption Premium 9M12Y,NaN
EUR Swaption Premium 9M15Y,508.361
EUR Swaption Premium 9M2Y,61.904
EUR Swaption Premium 9M20Y,650.48
EUR Swaption Premium 9M25Y,790.882
EUR Swaption Premium 9M3Y,97.374
EUR Swaption Premium 9M30Y,927.374
EUR Swaption Premium 9M4Y,132.953
EUR Swaption Premium 9M40Y,NaN
EUR Swaption Premium 9M5Y,170.492
EUR Swaption Premium 9M6Y,207.147
EUR Swaption Premium 9M7Y,243.949
EUR Swaption Premium 9M8Y,280.153
EUR Swaption Premium 9M9Y,316.163
EUR Swaption Premium 18M12Y,NaN
EUR Swaption Premium 10Y12Y,NaN
EUR Swaption Premium 10Y15Y,1538.257
EUR Swaption Premium 10Y2Y,262.805
EUR Swaption Premium 10Y25Y,2235.7749
EUR Swaption Premium 10Y3Y,383.662
EUR Swaption Premium 10Y4Y,500.503
EUR Swaption Premium 10Y5Y,614.171
EUR Swaption Premium 10Y6Y,728.64
EUR Swaption Premium 10Y7Y,839.59
EUR Swaption Premium 10Y8Y,941.638
EUR Swaption Premium 10Y9Y,1040.649
